id,location,date,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand
83,Afghanistan,2020-04-02,26,0,62.04,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
84,Afghanistan,2020-04-03,43,0,62.04,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
85,Afghanistan,2020-04-04,0,0,62.04,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
86,Afghanistan,2020-04-05,35,1,73.15,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
87,Afghanistan,2020-04-06,29,2,73.15,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
88,Afghanistan,2020-04-07,38,0,73.15,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
89,Afghanistan,2020-04-08,30,4,73.15,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
90,Afghanistan,2020-04-09,56,3,73.15,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
91,Afghanistan,2020-04-10,61,1,73.15,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
92,Afghanistan,2020-04-11,37,0,73.15,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
93,Afghanistan,2020-04-12,34,3,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
94,Afghanistan,2020-04-13,52,0,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
95,Afghanistan,2020-04-14,58,3,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
96,Afghanistan,2020-04-15,49,2,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
97,Afghanistan,2020-04-16,70,2,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
98,Afghanistan,2020-04-17,10,4,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
99,Afghanistan,2020-04-18,51,1,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
100,Afghanistan,2020-04-19,63,0,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
101,Afghanistan,2020-04-20,88,3,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
102,Afghanistan,2020-04-21,35,2,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
103,Afghanistan,2020-04-22,61,1,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
104,Afghanistan,2020-04-23,84,4,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
105,Afghanistan,2020-04-24,105,2,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
106,Afghanistan,2020-04-25,70,1,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
107,Afghanistan,2020-04-26,112,4,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
108,Afghanistan,2020-04-27,68,10,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
109,Afghanistan,2020-04-28,172,0,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
110,Afghanistan,2020-04-29,124,3,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
111,Afghanistan,2020-04-30,122,0,78.7,38928341,54.422,18.6,2.581,1.337,,,1803.987,37.746,0.5
112,Albania,2020-03-09,2,0,36.11,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
113,Albania,2020-03-10,4,0,41.67,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
114,Albania,2020-03-11,4,0,51.85,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
115,Albania,2020-03-12,1,1,51.85,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
116,Albania,2020-03-13,12,0,78.7,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
117,Albania,2020-03-14,10,0,78.7,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
118,Albania,2020-03-15,5,0,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
119,Albania,2020-03-16,4,0,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
120,Albania,2020-03-17,9,0,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
121,Albania,2020-03-18,4,0,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
122,Albania,2020-03-19,4,1,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
123,Albania,2020-03-20,11,0,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
124,Albania,2020-03-21,0,0,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
125,Albania,2020-03-22,6,0,81.48,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
126,Albania,2020-03-23,13,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
127,Albania,2020-03-24,11,2,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
128,Albania,2020-03-25,23,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
129,Albania,2020-03-26,23,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
130,Albania,2020-03-27,28,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
131,Albania,2020-03-28,12,3,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
132,Albania,2020-03-29,11,1,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
133,Albania,2020-03-30,15,0,84.26,2877800,104.871,38,13.188,8.643,7.1,51.2,11803.431,,2.89
